ORIGEM	ÁREA	CURSO	 CH - CURSO	 PREÇO CURSO - MATRÍCULA	MÓDULO UNIDADE CURRICULAR	CH - MÓDULO	 PREÇO MÓDULO - MATRÍCULA	CAPACIDADE DESENVOLVIDA - MÓDULO
CT 60x40	Modelagem do Vestuário	Gestão dos Processos de Modelagem do Vestuário e Inspeção da Qualidade	  120 		Diretrizes Empresariais	12	 R$  -   	● Demonstrar profissionalismo no exercício de suas responsabilidades e sintonia com as diretrizes institucionais estabelecidas.
CT 60x40	Modelagem do Vestuário	Gestão dos Processos de Modelagem do Vestuário e Inspeção da Qualidade	  120 		Fluxo operacional da produção do setor de modelagem	12	 R$  -   	● Identificar as informações necessárias que devem ser registradas referentes a liberação da modelagem e peça piloto para produção
CT 60x40	Modelagem do Vestuário	Gestão dos Processos de Modelagem do Vestuário e Inspeção da Qualidade	  120 		Gestão da Produção do Vestuário	12	 R$  -   	● Reconhecer o seu papel como gestor de equipes e processos de trabalho, dialogando com seus pares e os demais níveis hierárquicos.
CT 60x40	Química	Fundamentos de Química	  36 		Introdução à Química Orgânica	12	 R$  -   	● Identificar tipos de ligações químicas e interações intermoleculares para a realização de análises laboratoriais ● Identificar as funções orgânicas com base nos grupos funcionais para a realização de análises laboratoriais
CT 60x40	Química	Fundamentos de Química	  36 		Funções Orgânicas	12	 R$  -   	● Identificar as funções orgânicas com base nos grupos funcionais para a realização de análises laboratoriais
CT 60x40	Química	Fundamentos de Química	  36 		Isomeria e Reações Orgânicas	12	 R$  -   	● Identificar os tipos de reações químicas para a realização de análises laboratoriais
CT 60x40	Química	Fundamentos de Microbiologia	  20 		Fundamentos de Biologia e Microbiologia Voltados à Identificação de Microrganismos	20	 R$  -   	● Identificar principais grupos de microrganismo para a realização de análises microbiológicas
CT 60x40	Química	Fundamentos das Técnicas Laboratoriais	  12 		Preparo do Laboratório para a Realização de Técnicas Laboratoriais	12	 R$  -   	• Reconhecer os fundamentos de qualidade, saúde, segurança e meio ambiente • Identificar os Equipamentos de Proteção Individual (EPI) e Equipamentos de Proteção Coletiva (EPC) inerentes aos riscos • Reconhecer as normas técnicas de acordo com as suas respectivas legislações
CT 60x40	Química	Fundamentos de Processos Químicos Industriais	  24 		Conceitos Sobre o Processamento Químico Industrial	12	 R$  -   	• Reconhecer os diferentes tipos de fluxograma dos processos químicos industriais. • Reconhecer os parâmetros e variáveis dos processos químicos industriais
CT 60x40	Química	Fundamentos de Processos Químicos Industriais	  24 		Boas Práticas de Fabricação na Indústria Química	12	 R$  -   	• Interpretar normas, textos técnicos e Procedimentos Operacionais Padrão (POP) aplicáveis aos processos químicos industriais • Identificar os princípios de funcionamento de máquinas e equipamentos nos processos químicos industriais
CT 60x40	Química	Análises Instrumentais	  36 		A amostragem na Análise Instrumental	12	 R$  -   	• Identificar os procedimentos operacionais pertinentes a realização das atividades
CT 60x40	Química	Análises Instrumentais	  36 		Métodos de Análises Instrumentais	12	 R$  -   	• Selecionar os materiais necessários com a metodologia de amostragem e análises instrumentais para a realização da amostragem e análises instrumentais
CT 60x40	Química	Análises Instrumentais	  36 		Apresentação de Resultados das Análises Instrumentais	12	 R$  -   	• Interpretar os resultados de acordo com a confiabilidade, rastreabilidade e qualidade das informações definidas • Especificar os resultados das análises laboratoriais de acordo com os procedimentos operacionais padrão (pop) • Analisar a repetibilidade e reprodutibilidade e dos resultados analíticos
CT 60x40	Química	Controle dos Processos Industriais e Laboratoriais	  72 		Planejamento e Controle da Produção Química	15	 R$  -   	• Avaliar custos, infraestrutura, disponibilidade de matéria prima e insumos para desenvolvimento de métodos analíticos, produtos e/ou processos industriais e laboratoriais • Interpretar o planejamento e controle da produção (PCP) para a avalição dos parâmetros • Identificar o fluxo operacional do processo industrial e laboratorial para o planejamento da produção
CT 60x40	Química	Controle dos Processos Industriais e Laboratoriais	  72 		Ferramentas da Qualidade Aplicadas ao Monitoramento da Produção Química	14	 R$  -   	• Avaliar as oportunidades de melhoria identificadas nos processos industriais e laboratoriais • Analisar os parâmetros de controle e qualidade dos processos industriais e laboratoriais • Identificar os parâmetros de controle dos processos industriais e laboratoriais identificar os pontos críticos de controle nos processos
CT 60x40	Química	Controle dos Processos Industriais e Laboratoriais	  72 		Destinação dos resíduos do processo químico e laboratorial	14	 R$  -   	• Identificar legislação, procedimentos e normas técnicas ambientais de destinação e tratamento de resíduos sólidos, líquidos e atmosféricos nos processos industriais e laboratoriais
CT 60x40	Química	Controle dos Processos Industriais e Laboratoriais	  72 		Sistemas de Gestão da Qualidade e Ambiental	14	 R$  -   	• Identificar novas tecnologias ambientais no controle dos processos industriais e laboratoriais • Identificar o plano de contingência/ emergência para a saúde e segurança do trabalhador e preservação do meio ambiente
CT 60x40	Química	Controle dos Processos Industriais e Laboratoriais	  72 		Organização do Trabalho Para o Processamento Químico	15	 R$  -   	• Identificar os parâmetros de controle dos processos industriais e laboratoriais identificar os pontos críticos de controle nos processos industriais e laboratoriais • Identificar os procedimentos operacionais pertinentes à realização das atividades • Identificar situações de risco para a saúde e segurança do trabalhador durante a execução das atividades da produção
CT 60x40	Química	Análises Microbiológicas	  36 		Preparação de Amostras e Meios para Análise Microbiológica	12	 R$  -   	• Identificar os procedimentos operacionais pertinentes à realização das atividades
